trace_idx,field_record,trace_number,source_x,source_y,receiver_x,receiver_y,receiver_elev_m,source_offset_m,pick_time_s,pick_quality,flag
0,14,2,433423.5,6478248.0,435053.0,6478560.0,220.3718,1528.2722924923542,,,no_trigger
1,14,5,433423.5,6478248.0,435053.0,6478560.0,235.49190000000002,1528.2722924923542,,,no_trigger
2,14,8,433423.5,6478248.0,435053.10000000003,6478559.600000001,250.61190000000002,1528.2722924923542,,,no_trigger
3,14,11,433423.5,6478248.0,435053.2,6478559.600000001,265.7319,1528.2722924923542,,,no_trigger
4,15,2,433411.7,6478254.0,435053.0,6478560.0,220.3718,1540.9574685888624,,,no_trigger
5,15,5,433411.7,6478254.0,435053.0,6478560.0,235.49190000000002,1540.9574685888624,,,no_trigger
6,15,8,433411.7,6478254.0,435053.10000000003,6478559.600000001,250.61190000000002,1540.9574685888624,,,no_trigger
7,15,11,433411.7,6478254.0,435053.2,6478559.600000001,265.7319,1540.9574685888624,,,no_trigger
8,16,2,433403.10000000003,6478258.4,435053.0,6478560.0,220.3718,1550.2133659596443,,,no_trigger
9,16,5,433403.10000000003,6478258.4,435053.0,6478560.0,235.49190000000002,1550.2133659596443,,,no_trigger
10,16,8,433403.10000000003,6478258.4,435053.10000000003,6478559.600000001,250.61190000000002,1550.2133659596443,,,no_trigger
11,16,11,433403.10000000003,6478258.4,435053.2,6478559.600000001,265.7319,1550.2133659596443,,,no_trigger
12,17,2,433365.0,6478279.2,435053.0,6478560.0,220.3718,1591.525761651353,,,no_trigger
13,17,5,433365.0,6478279.2,435053.0,6478560.0,235.49190000000002,1591.525761651353,,,no_trigger
14,17,8,433365.0,6478279.2,435053.10000000003,6478559.600000001,250.61190000000002,1591.525761651353,,,no_trigger
15,17,11,433365.0,6478279.2,435053.2,6478559.600000001,265.7319,1591.525761651353,,,no_trigger
16,18,2,433356.60000000003,6478283.600000001,435053.0,6478560.0,220.3718,1600.6131606356473,,,no_trigger
17,18,5,433356.60000000003,6478283.600000001,435053.0,6478560.0,235.49190000000002,1600.6131606356473,,,no_trigger
18,18,8,433356.60000000003,6478283.600000001,435053.10000000003,6478559.600000001,250.61190000000002,1600.6131606356473,,,no_trigger
19,18,11,433356.60000000003,6478283.600000001,435053.2,6478559.600000001,265.7319,1600.6131606356473,,,no_trigger
20,54,2,435064.10000000003,6478546.4,435032.60000000003,6478424.4,1115.0146,586.9641215609214,,,no_trigger
21,54,5,435064.10000000003,6478546.4,435029.80000000005,6478420.800000001,1129.4257,586.9641215609214,,,no_trigger
22,54,8,435064.10000000003,6478546.4,435027.10000000003,6478416.800000001,1143.8365000000001,586.9641215609214,,,no_trigger
23,54,11,435064.10000000003,6478546.4,435024.10000000003,6478414.0,1158.3025,586.9641215609214,,,no_trigger
24,55,2,435064.10000000003,6478546.4,435032.60000000003,6478424.4,1115.0146,586.9641215609214,,,no_trigger
25,55,5,435064.10000000003,6478546.4,435029.80000000005,6478420.800000001,1129.4257,586.9641215609214,,,no_trigger
26,55,8,435064.10000000003,6478546.4,435027.10000000003,6478416.800000001,1143.8365000000001,586.9641215609214,,,no_trigger
27,55,11,435064.10000000003,6478546.4,435024.10000000003,6478414.0,1158.3025,586.9641215609214,,,no_trigger
28,56,2,435064.10000000003,6478547.2,435032.60000000003,6478424.4,1115.0146,587.7421203211243,,,no_trigger
29,56,5,435064.10000000003,6478547.2,435029.80000000005,6478420.800000001,1129.4257,587.7421203211243,,,no_trigger
30,56,8,435064.10000000003,6478547.2,435027.10000000003,6478416.800000001,1143.8365000000001,587.7421203211243,,,no_trigger
31,56,11,435064.10000000003,6478547.2,435024.10000000003,6478414.0,1158.3025,587.7421203211243,,,no_trigger
32,57,2,435064.10000000003,6478546.4,435048.9,6478063.600000001,2142.9078,586.9641215609214,1.02,8.213046249880335,ok
33,57,5,435064.10000000003,6478546.4,435049.10000000003,6478057.600000001,2156.705,586.9641215609214,1.026,8.518687869837771,ok
34,57,8,435064.10000000003,6478546.4,435048.5,6478051.2,2170.4864000000002,586.9641215609214,1.032,8.615360549818893,ok
35,57,11,435064.10000000003,6478546.4,435048.0,6478044.800000001,2184.2678,586.9641215609214,1.038,8.49596703177648,ok
36,58,2,435064.10000000003,6478547.2,435048.9,6478063.600000001,2142.9078,587.7421203211243,1.0190000000000001,8.285320598052278,ok
37,58,5,435064.10000000003,6478547.2,435049.10000000003,6478057.600000001,2156.705,587.7421203211243,1.025,8.480983597224116,ok
38,58,8,435064.10000000003,6478547.2,435048.5,6478051.2,2170.4864000000002,587.7421203211243,1.03,8.540281008505026,ok
39,58,11,435064.10000000003,6478547.2,435048.0,6478044.800000001,2184.2678,587.7421203211243,1.037,8.388791120132343,ok
40,59,2,435064.10000000003,6478546.4,435048.9,6478063.600000001,2142.9078,586.9641215609214,1.0190000000000001,8.327356727093198,ok
41,59,5,435064.10000000003,6478546.4,435049.10000000003,6478057.600000001,2156.705,586.9641215609214,1.025,8.371841068195108,ok
42,59,8,435064.10000000003,6478546.4,435048.5,6478051.2,2170.4864000000002,586.9641215609214,1.031,8.422523933710087,ok
43,59,11,435064.10000000003,6478546.4,435048.0,6478044.800000001,2184.2678,586.9641215609214,1.037,8.535765228019182,ok
44,60,2,435064.10000000003,6478546.4,435048.9,6478063.600000001,2142.9078,586.9641215609214,1.02,8.245564611237185,ok
