trace_idx,field_record,trace_number,source_x,source_y,receiver_x,receiver_y,receiver_elev_m,source_offset_m,pick_time_s,pick_quality,flag
173,400,0,434769.96,6478632.32,434752.84,6478622.72,2655.43,746.8668079383684,1.161,8.310504965281217,ok
174,401,0,434769.8,6478632.96,434752.84,6478622.72,2655.43,746.7998286021921,1.161,8.2046704130803,ok
175,402,0,434769.92,6478631.68,434752.84,6478622.72,2655.43,747.1223781954358,1.161,8.270098918892963,ok
176,403,0,434770.04000000004,6478631.68,434752.84,6478622.72,2655.43,747.0095688813689,1.161,8.310034116317635,ok
177,399,0,434770.12,6478632.96,434763.4,6478625.92,2670.67,746.4988273267772,1.159,8.351928879450956,ok
178,400,0,434769.96,6478632.32,434763.4,6478625.92,2670.67,746.8668079383684,1.164,8.32590888716328,ok
179,401,0,434769.8,6478632.96,434763.4,6478625.92,2670.67,746.7998286021921,1.164,8.201251438538387,ok
180,402,0,434769.92,6478631.68,434763.4,6478625.92,2670.67,747.1223781954358,1.164,8.288221548667414,ok
181,403,0,434770.04000000004,6478631.68,434763.4,6478625.92,2670.67,747.0095688813689,1.164,8.285431347885867,ok
182,399,0,434770.12,6478632.96,434773.96,6478629.76,2685.91,746.4988273267772,1.168,8.404208400017156,ok
183,400,0,434769.96,6478632.32,434773.96,6478629.76,2685.91,746.8668079383684,1.168,8.381642460553927,ok
184,401,0,434769.8,6478632.96,434773.96,6478629.76,2685.91,746.7998286021921,1.162,8.284734322428093,ok
185,402,0,434769.92,6478631.68,434773.96,6478629.76,2685.91,747.1223781954358,1.16,8.37948911108237,ok
186,403,0,434770.04000000004,6478631.68,434773.96,6478629.76,2685.91,747.0095688813689,1.161,8.380649747022394,ok
187,399,0,434770.12,6478632.96,434784.92,6478633.600000001,2701.15,746.4988273267772,1.162,8.109481720454822,ok
188,400,0,434769.96,6478632.32,434784.92,6478633.600000001,2701.15,746.8668079383684,1.171,8.441093069025127,ok
189,401,0,434769.8,6478632.96,434784.92,6478633.600000001,2701.15,746.7998286021921,1.171,8.385062206405282,ok
190,402,0,434769.92,6478631.68,434784.92,6478633.600000001,2701.15,747.1223781954358,1.162,8.089995622248843,ok
191,403,0,434770.04000000004,6478631.68,434784.92,6478633.600000001,2701.15,747.0095688813689,1.162,8.078178221103016,ok
192,389,0,434813.28,6478649.600000001,434796.16000000003,6478636.8,2716.48,700.2536968841448,1.173,8.430174179961213,ok
193,390,0,434813.24,6478648.96,434796.16000000003,6478636.8,2716.48,700.5080122312976,1.173,8.476393097017253,ok
194,391,0,434812.36,6478647.68,434796.16000000003,6478636.8,2716.48,701.7703647208077,1.174,8.456249003453522,ok
195,392,0,434810.28,6478645.76,434796.16000000003,6478636.8,2716.48,704.380301825858,1.173,8.525250563870463,ok
196,393,0,434812.32,6478647.68,434796.16000000003,6478636.8,2716.48,701.8079794362186,1.173,8.005921677084796,ok
197,389,0,434813.28,6478649.600000001,434807.36,6478641.28,2731.7200000000003,700.2536968841448,1.176,8.468558736901677,ok
198,390,0,434813.24,6478648.96,434807.36,6478641.28,2731.7200000000003,700.5080122312976,1.176,8.532358276744962,ok
199,391,0,434812.36,6478647.68,434807.36,6478641.28,2731.7200000000003,701.7703647208077,1.176,8.494328128315528,ok
200,392,0,434810.28,6478645.76,434807.36,6478641.28,2731.7200000000003,704.380301825858,1.176,8.603154486934898,ok
201,393,0,434812.32,6478647.68,434807.36,6478641.28,2731.7200000000003,701.8079794362186,1.176,8.110822010780465,ok
202,389,0,434813.28,6478649.600000001,434819.08,6478644.48,2746.96,700.2536968841448,1.18,8.389217916436513,ok
203,390,0,434813.24,6478648.96,434819.08,6478644.48,2746.96,700.5080122312976,1.18,8.526579523799006,ok
204,391,0,434812.36,6478647.68,434819.08,6478644.48,2746.96,701.7703647208077,1.18,8.546060490679327,ok
205,392,0,434810.28,6478645.76,434819.08,6478644.48,2746.96,704.380301825858,1.179,8.552978988995283,ok
206,393,0,434812.32,6478647.68,434819.08,6478644.48,2746.96,701.8079794362186,1.18,8.075056341107103,ok
207,389,0,434813.28,6478649.600000001,434830.8,6478648.96,2762.2000000000003,700.2536968841448,1.183,8.666601036401238,ok
208,390,0,434813.24,6478648.96,434830.8,6478648.96,2762.2000000000003,700.5080122312976,1.183,8.022758291518489,ok
209,391,0,434812.36,6478647.68,434830.8,6478648.96,2762.2000000000003,701.7703647208077,1.183,8.749685524796615,ok
210,392,0,434810.28,6478645.76,434830.8,6478648.96,2762.2000000000003,704.380301825858,1.182,8.068491938441547,ok
211,393,0,434812.32,6478647.68,434830.8,6478648.96,2762.2000000000003,701.8079794362186,1.183,8.069808646405354,ok
212,379,0,434853.8,6478677.12,434842.64,6478652.8,2777.4700000000003,652.928502058348,1.186,8.07151020134188,ok
213,380,0,434854.0,6478677.12,434842.64,6478652.8,2777.4700000000003,652.7390572044419,1.186,8.999665584216956,ok
214,381,0,434853.48,6478675.84,434842.64,6478652.8,2777.4700000000003,653.6428333580023,1.186,8.162165990634074,ok
215,382,0,434853.08,6478675.84,434842.64,6478652.8,2777.4700000000003,654.0215238050151,1.186,8.968739418560427,ok
216,383,0,434853.04000000004,6478675.84,434842.64,6478652.8,2777.4700000000003,654.0593942450548,1.186,8.320423411875884,ok
217,379,0,434853.8,6478677.12,434854.8,6478657.28,2792.71,652.928502058348,1.188,8.935263495329378,ok
218,380,0,434854.0,6478677.12,434854.8,6478657.28,2792.71,652.7390572044419,1.188,8.928108351089502,ok
219,381,0,434853.48,6478675.84,434854.8,6478657.28,2792.71,653.6428333580023,1.188,8.928312206462016,ok
220,382,0,434853.08,6478675.84,434854.8,6478657.28,2792.71,654.0215238050151,1.189,8.76858400009444,ok
221,383,0,434853.04000000004,6478675.84,434854.8,6478657.28,2792.71,654.0593942450548,1.188,9.007230513788459,ok
222,379,0,434853.8,6478677.12,434866.96,6478661.76,2807.9500000000003,652.928502058348,1.191,8.405463994253857,ok
223,380,0,434854.0,6478677.12,434866.96,6478661.76,2807.9500000000003,652.7390572044419,1.191,8.337445917363198,ok
